Date,Open,High,Low,Close,Volume
9-Dec-16,99.48,100.17,98.92,99.30,1355202
8-Dec-16,98.18,99.67,97.88,99.41,1494158
7-Dec-16,96.31,98.21,96.21,98.18,1581683
6-Dec-16,95.98,96.36,95.52,96.22,1358018
5-Dec-16,95.36,96.99,95.23,95.99,1634607
2-Dec-16,95.29,95.50,94.15,94.58,2085220
1-Dec-16,96.42,96.80,94.85,95.24,2444082
30-Nov-16,98.46,98.69,95.83,95.93,2704322
29-Nov-16,97.35,98.45,96.92,98.00,1467938
28-Nov-16,97.92,97.95,96.77,97.35,1251211
25-Nov-16,97.63,98.13,97.35,98.13,482559
23-Nov-16,96.59,97.69,96.36,97.59,1286678
22-Nov-16,96.45,96.71,96.03,96.62,1513562
21-Nov-16,95.56,96.33,95.31,96.19,1807111
18-Nov-16,96.23,96.23,95.12,95.19,1276934
17-Nov-16,96.77,96.83,96.10,96.61,1118735
16-Nov-16,95.96,96.57,95.86,96.36,1636390
15-Nov-16,96.10,96.54,95.51,96.23,1778804
14-Nov-16,96.40,96.85,95.13,96.05,2002259
11-Nov-16,96.32,97.27,95.49,95.77,2013836
10-Nov-16,95.91,98.21,95.78,96.87,2826797
9-Nov-16,92.36,95.97,90.88,95.29,3225509
8-Nov-16,93.83,95.19,93.50,94.74,1692133
7-Nov-16,94.16,94.42,93.57,94.35,2066789
4-Nov-16,92.02,93.66,91.54,92.81,1528583
3-Nov-16,92.76,93.14,91.66,91.75,1647574
2-Nov-16,92.85,93.99,92.37,92.38,2227472
1-Nov-16,93.25,93.59,91.75,92.74,2224383
31-Oct-16,93.35,93.44,92.81,93.13,2172977
28-Oct-16,93.44,94.53,92.27,92.87,2062332
27-Oct-16,93.03,93.63,92.74,93.35,2291233
26-Oct-16,91.01,92.62,91.01,92.52,2515849
25-Oct-16,90.55,92.06,89.64,91.22,4338508
24-Oct-16,92.75,93.51,92.70,93.24,2011073
21-Oct-16,91.42,92.59,90.48,92.38,2366992
20-Oct-16,92.69,94.47,92.51,92.66,2411418
19-Oct-16,92.82,93.18,92.16,92.56,2166432
18-Oct-16,93.75,93.83,92.79,92.81,1317470
17-Oct-16,92.60,92.88,92.24,92.66,1918790
14-Oct-16,92.75,93.11,92.55,92.60,2453246
13-Oct-16,91.01,92.36,90.31,92.12,2603365
12-Oct-16,92.39,92.56,91.43,91.94,2171212
11-Oct-16,93.25,93.25,91.51,92.30,4157688
10-Oct-16,94.31,94.99,93.22,93.85,3251573
7-Oct-16,97.19,97.50,92.51,93.73,7136802
6-Oct-16,101.40,102.36,101.22,102.19,1078775
5-Oct-16,102.30,102.73,101.55,101.58,912363
4-Oct-16,103.80,104.08,101.80,102.05,1560626
3-Oct-16,103.27,104.04,103.27,103.44,1348278
30-Sep-16,102.65,103.85,102.65,103.36,1716461
29-Sep-16,103.65,103.96,101.98,102.06,1162960
28-Sep-16,102.92,103.95,102.37,103.57,1300810
27-Sep-16,102.00,102.63,101.54,102.45,1290438
26-Sep-16,103.07,103.29,102.01,102.14,928392
23-Sep-16,103.11,103.76,102.78,103.27,1648992
22-Sep-16,103.51,104.22,102.92,103.14,1149767
21-Sep-16,101.80,102.54,101.26,102.46,1143979
20-Sep-16,100.41,101.95,100.41,101.26,1317944
19-Sep-16,100.93,101.55,100.53,101.08,1266116
16-Sep-16,100.63,100.82,99.78,100.21,1986709
15-Sep-16,100.69,101.60,100.38,101.24,1199563
14-Sep-16,101.07,101.38,99.96,100.68,1098659
13-Sep-16,101.71,101.95,100.58,101.16,1425355
12-Sep-16,100.48,102.98,100.42,102.76,1597182
9-Sep-16,104.58,104.58,100.76,100.86,2339450
8-Sep-16,106.54,106.88,105.28,105.30,1042443
7-Sep-16,107.24,107.79,106.42,106.73,1337902
6-Sep-16,107.37,107.97,107.01,107.62,1321192
2-Sep-16,106.74,107.07,106.32,107.04,661542
1-Sep-16,106.02,106.30,105.09,105.98,929606
31-Aug-16,107.08,107.08,105.43,105.88,1392251
30-Aug-16,107.35,107.70,106.67,107.28,1036536
29-Aug-16,105.91,107.89,105.91,107.60,1301714
26-Aug-16,106.97,107.65,105.41,105.75,929702
25-Aug-16,106.10,107.19,106.05,106.75,914054
24-Aug-16,106.28,107.12,106.00,106.39,1808389
23-Aug-16,105.87,106.77,105.60,106.44,1341749
22-Aug-16,104.43,105.28,104.00,105.21,1148549
19-Aug-16,103.22,104.86,103.22,104.73,1090001
18-Aug-16,103.59,103.96,103.36,103.77,1036944
17-Aug-16,103.66,104.03,102.90,103.59,1243021
16-Aug-16,104.51,105.36,103.65,103.65,1287115
15-Aug-16,104.13,104.75,104.02,104.46,1037262
12-Aug-16,104.61,104.87,103.71,103.99,977582
11-Aug-16,104.82,105.38,104.43,104.74,1096106
10-Aug-16,104.69,105.07,104.09,104.69,1102365
9-Aug-16,104.35,105.20,104.19,104.37,1044980
8-Aug-16,104.45,104.70,104.05,104.48,1211361
5-Aug-16,104.61,104.98,104.35,104.43,1063659
4-Aug-16,104.30,104.82,103.85,104.10,1282197
3-Aug-16,104.13,104.38,102.87,104.33,2415786
